sample_id,label
0000000,0
0000001,0
0000002,0
0000003,0
0000004,0
0000005,0
0000006,0
0000007,0
0000008,0
0000009,0
0000010,0
0000011,0
0000012,0
0000013,0
0000014,0
0000015,0
0000016,0
0000017,0
0000018,0
0000019,0
0000020,0
0000021,0
0000022,0
0000023,0
0000024,0
0000025,0
0000026,0
0000027,0
0000028,0
0000029,0
0000030,0
0000031,0
0000032,0
0000033,0
0000034,0
0000035,0
0000036,0
0000037,0
0000038,0
0000039,0
0000040,0
0000041,0
0000042,0
0000043,0
0000044,0
0000045,0
0000046,0
0000047,0
0000048,0
0000049,0
0000050,0
0000051,0
0000052,0
0000053,0
0000054,0
0000055,0
0000056,0
0000057,0
0000058,0
0000059,0
0000060,0
0000061,0
0000062,0
0000063,0
0000064,0
0000065,0
0000066,0
0000067,0
0000068,0
0000069,0
0000070,0
0000071,0
0000072,0
0000073,0
0000074,0
0000075,0
0000076,0
0000077,0
0000078,0
0000079,0
0000080,0
0000081,0
0000082,0
0000083,0
0000084,0
0000085,0
0000086,0
0000087,0
0000088,0
0000089,0
0000090,0
0000091,0
0000092,0
0000093,0
0000094,0
0000095,0
0000096,0
0000097,0
0000098,0
0000099,0
0000100,1
0000101,1
0000102,1
0000103,1
0000104,1
0000105,1
0000106,1
0000107,1
0000108,1
0000109,1
0000110,1
0000111,1
0000112,1
0000113,1
0000114,1
0000115,1
0000116,1
0000117,1
0000118,1
0000119,1
0000120,1
0000121,1
0000122,1
0000123,1
0000124,1
0000125,1
0000126,1
0000127,1
0000128,1
0000129,1
0000130,1
0000131,1
0000132,1
0000133,1
0000134,1
0000135,1
0000136,1
0000137,1
0000138,1
0000139,1
0000140,1
0000141,1
0000142,1
0000143,1
0000144,1
0000145,1
0000146,1
0000147,1
0000148,1
0000149,1
0000150,1
0000151,1
0000152,1
0000153,1
0000154,1
0000155,1
0000156,1
0000157,1
0000158,1
0000159,1
0000160,1
0000161,1
0000162,1
0000163,1
