rank,sample_id,total_pixels,class_0,class_1,class_2
1,0046191,262144,235926,26218,0
2,0000037,262144,0,0,262144
3,0000095,262144,0,262144,0
4,0000138,262144,0,262144,0
5,0000139,262144,0,262144,0
6,0046443,262144,235926,26218,0
7,0000146,262144,0,262144,0
8,0000150,262144,0,262144,0
9,0000176,262144,0,262144,0
10,0000109,262144,0,0,262144
11,0046695,262144,235926,26218,0
12,0000223,262144,0,262144,0
13,0000318,262144,0,262144,0
14,0000346,262144,0,262144,0
15,0046947,262144,235926,26218,0
16,0000375,262144,0,262144,0
17,0000405,262144,0,262144,0
18,0000110,262144,0,0,262144
19,0000445,262144,0,262144,0
20,0047199,262144,235926,26218,0
21,0000454,262144,0,262144,0
22,0000461,262144,0,262144,0
23,0000462,262144,0,262144,0
24,0047451,262144,235926,26218,0
25,0000468,262144,0,262144,0
26,0000111,262144,0,0,262144
27,0000514,262144,0,262144,0
28,0000572,262144,0,262144,0
29,0047703,262144,235926,26218,0
30,0000604,262144,0,262144,0
31,0000676,262144,0,262144,0
32,0000809,262144,0,262144,0
33,0047955,262144,235926,26218,0
34,0000838,262144,0,262144,0
35,0000112,262144,0,0,262144
36,0000846,262144,0,262144,0
37,0000847,262144,0,262144,0
38,0033893,262144,235920,26184,40
39,0000860,262144,0,262144,0
40,0000902,262144,0,262144,0
41,0000904,262144,0,262144,0
42,0000113,262144,0,0,262144
43,0010891,262144,235915,16060,10169
44,0000911,262144,0,262144,0
45,0000917,262144,0,262144,0
46,0000924,262144,0,262144,0
47,0033034,262144,235907,21682,4555
48,0000929,262144,0,262144,0
49,0000945,262144,0,262144,0
50,0000114,262144,0,0,262144
