sample_id,total_pixels,class_0,class_1,class_2
0000000,262144,127757,134001,386
0000001,262144,213592,48446,106
0000002,262144,80748,177578,3818
0000003,262144,152386,109758,0
0000004,262144,161644,59653,40847
0000005,262144,163371,34020,64753
0000006,262144,164689,92223,5232
0000007,262144,67027,189036,6081
0000008,262144,146404,1079,114661
0000009,262144,163233,1546,97365
0000010,262144,161223,18283,82638
0000011,262144,140438,78714,42992
0000012,262144,12915,234229,15000
0000013,262144,210144,11377,40623
0000014,262144,214709,0,47435
0000015,262144,123850,42772,95522
0000016,262144,202922,12647,46575
0000017,262144,128580,132794,770
0000018,262144,125198,136131,815
0000019,262144,219495,0,42649
0000020,262144,215325,0,46819
0000021,262144,18765,241771,1608
0000022,262144,149106,108172,4866
0000023,262144,192805,69339,0
0000024,262144,211589,50555,0
0000025,262144,146249,59392,56503
0000026,262144,100171,160426,1547
0000027,262144,188343,72967,834
0000028,262144,50545,210115,1484
0000029,262144,6786,0,255358
0000030,262144,84062,67798,110284
0000031,262144,169453,54335,38356
0000032,262144,109923,151141,1080
0000033,262144,85046,128488,48610
0000034,262144,235019,7111,20014
0000035,262144,9754,30388,222002
0000036,262144,4486,0,257658
0000037,262144,0,0,262144
0000038,262144,16,6805,255323
0000039,262144,796,42997,218351
0000040,262144,39153,8825,214166
0000041,262144,52080,63583,146481
0000042,262144,0,2567,259577
0000043,262144,2344,43825,215975
0000044,262144,0,57984,204160
0000045,262144,0,199724,62420
0000046,262144,0,198916,63228
0000047,262144,4628,195657,61859
0000048,262144,0,93021,169123
0000049,262144,0,94862,167282
0000050,262144,65592,194594,1958
0000051,262144,61697,158924,41523
0000052,262144,59974,202170,0
0000053,262144,58518,203331,295
0000054,262144,56910,205025,209
0000055,262144,55450,206694,0
0000056,262144,63556,198588,0
0000057,262144,152057,33960,76127
0000058,262144,138680,118450,5014
0000059,262144,119374,108490,34280
0000060,262144,86167,175110,867
0000061,262144,121850,139865,429
0000062,262144,232082,27596,2466
0000063,262144,54908,207134,102
0000064,262144,141466,14200,106478
0000065,262144,217057,43456,1631
0000066,262144,78143,0,184001
0000067,262144,121123,0,141021
0000068,262144,226789,0,35355
0000069,262144,55017,0,207127
0000070,262144,225223,0,36921
0000071,262144,206388,692,55064
0000072,262144,71883,186196,4065
0000073,262144,37345,199111,25688
0000074,262144,78680,160624,22840
0000075,262144,46995,0,215149
0000076,262144,160437,23127,78580
0000077,262144,231844,8871,21429
0000078,262144,4702,256641,801
0000079,262144,0,260563,1581
0000080,262144,0,240458,21686
0000081,262144,0,187674,74470
0000082,262144,0,149082,113062
