rank,sample_id,total_pixels,class_0,class_1,class_2
1,0046191,262144,235926,26218,0
2,0000037,262144,0,0,262144
3,0000095,262144,0,262144,0
4,0000138,262144,0,262144,0
5,0000139,262144,0,262144,0
6,0046443,262144,235926,26218,0
7,0000146,262144,0,262144,0
8,0000150,262144,0,262144,0
9,0000176,262144,0,262144,0
10,0000109,262144,0,0,262144
11,0046695,262144,235926,26218,0
12,0000223,262144,0,262144,0
13,0000318,262144,0,262144,0
14,0000346,262144,0,262144,0
15,0046947,262144,235926,26218,0
16,0000375,262144,0,262144,0
17,0000405,262144,0,262144,0
18,0000110,262144,0,0,262144
19,0000445,262144,0,262144,0
20,0047199,262144,235926,26218,0
21,0000454,262144,0,262144,0
22,0000461,262144,0,262144,0
23,0000462,262144,0,262144,0
24,0047451,262144,235926,26218,0
25,0000468,262144,0,262144,0
26,0000111,262144,0,0,262144
27,0000514,262144,0,262144,0
28,0000572,262144,0,262144,0
29,0047703,262144,235926,26218,0
30,0000604,262144,0,262144,0
31,0000676,262144,0,262144,0
32,0000809,262144,0,262144,0
33,0047955,262144,235926,26218,0
34,0000838,262144,0,262144,0
35,0000112,262144,0,0,262144
36,0000846,262144,0,262144,0
37,0000847,262144,0,262144,0
38,0033893,262144,235920,26184,40
39,0000860,262144,0,262144,0
40,0000902,262144,0,262144,0
41,0000904,262144,0,262144,0
42,0000113,262144,0,0,262144
43,0010891,262144,235915,16060,10169
44,0000911,262144,0,262144,0
45,0000917,262144,0,262144,0
46,0000924,262144,0,262144,0
47,0033034,262144,235907,21682,4555
48,0000929,262144,0,262144,0
49,0000945,262144,0,262144,0
50,0000114,262144,0,0,262144
51,0000946,262144,0,262144,0
52,0033885,262144,235880,26264,0
53,0000949,262144,0,262144,0
54,0000956,262144,0,262144,0
55,0000963,262144,0,262144,0
56,0005419,262144,235860,16643,9641
57,0000965,262144,0,262144,0
58,0000972,262144,0,262144,0
59,0000165,262144,0,0,262144
60,0000973,262144,0,262144,0
61,0005543,262144,235860,17345,8939
62,0000981,262144,0,262144,0
63,0001005,262144,0,262144,0
64,0001021,262144,0,262144,0
65,0039714,262144,235850,25829,465
66,0001029,262144,0,262144,0
67,0000166,262144,0,0,262144
68,0001033,262144,0,262144,0
69,0001034,262144,0,262144,0
70,0044394,262144,235850,26294,0
71,0001039,262144,0,262144,0
72,0001042,262144,0,262144,0
73,0001043,262144,0,262144,0
74,0051828,262144,235850,26109,185
75,0001047,262144,0,262144,0
76,0000167,262144,0,0,262144
77,0001050,262144,0,262144,0
78,0001051,262144,0,262144,0
79,0042738,262144,235844,19087,7213
80,0001055,262144,0,262144,0
81,0001065,262144,0,262144,0
82,0001066,262144,0,262144,0
83,0043339,262144,235844,14618,11682
84,0000168,262144,0,0,262144
85,0001067,262144,0,262144,0
86,0001068,262144,0,262144,0
87,0001081,262144,0,262144,0
88,0043737,262144,235844,14618,11682
89,0001091,262144,0,262144,0
90,0001094,262144,0,262144,0
91,0001103,262144,0,262144,0
92,0035984,262144,235841,26303,0
93,0000169,262144,0,0,262144
94,0001139,262144,0,262144,0
95,0001166,262144,0,262144,0
96,0001170,262144,0,262144,0
97,0038640,262144,235837,26307,0
98,0001177,262144,0,262144,0
99,0001196,262144,0,262144,0
100,0000170,262144,0,0,262144
