rank,sample_id,total_pixels,class_0,class_1,class_2,class_3
1,0003155,65536,65535,1,0,0
2,0000026,65536,0,0,0,65536
3,0000099,65536,0,0,65536,0
4,0001554,65536,0,65536,0,0
5,0003679,65536,65535,1,0,0
6,0002255,65536,65534,2,0,0
7,0000030,65536,0,0,0,65536
8,0001555,65536,0,65536,0,0
9,0000100,65536,0,0,65536,0
10,0002730,65536,65534,2,0,0
11,0005201,65536,65533,0,0,3
12,0000038,65536,0,0,0,65536
13,0001556,65536,0,65536,0,0
14,0000114,65536,0,0,65536,0
15,0002230,65536,65532,4,0,0
16,0003842,65536,65532,4,0,0
17,0000043,65536,0,0,0,65536
18,0001557,65536,0,65536,0,0
19,0003387,65536,65530,6,0,0
20,0000125,65536,0,0,65536,0
21,0003742,65536,65529,7,0,0
22,0000046,65536,0,0,0,65536
23,0007772,65536,65528,8,0,0
24,0001630,65536,0,65536,0,0
25,0000135,65536,0,0,65536,0
26,0000902,65536,65526,0,0,10
27,0000053,65536,0,0,0,65536
28,0007677,65536,65525,0,0,11
29,0001693,65536,0,65536,0,0
30,0000188,65536,0,0,65536,0
31,0006641,65536,65524,0,12,0
32,0002555,65536,65522,14,0,0
33,0000066,65536,0,0,0,65536
34,0001695,65536,0,65536,0,0
35,0003457,65536,65521,15,0,0
36,0000189,65536,0,0,65536,0
37,0003183,65536,65520,16,0,0
38,0000073,65536,0,0,0,65536
39,0003501,65536,65519,17,0,0
40,0001877,65536,0,65536,0,0
41,0000195,65536,0,0,65536,0
42,0005156,65536,65519,0,0,17
43,0000074,65536,0,0,0,65536
44,0006002,65536,65519,0,17,0
45,0001878,65536,0,65536,0,0
46,0000267,65536,0,0,65536,0
47,0005742,65536,65518,0,0,18
48,0000081,65536,0,0,0,65536
49,0000354,65536,65516,0,0,20
50,0001879,65536,0,65536,0,0
51,0004413,65536,65516,0,0,20
52,0000272,65536,0,0,65536,0
53,0000082,65536,0,0,0,65536
54,0007774,65536,65515,21,0,0
55,0003685,65536,65514,22,0,0
56,0001881,65536,0,65536,0,0
57,0003879,65536,0,0,65536,0
58,0000083,65536,0,0,0,65536
59,0004441,65536,65514,0,0,22
60,0003722,65536,65513,23,0,0
61,0001885,65536,0,65536,0,0
62,0005720,65536,65513,0,0,23
63,0003880,65536,0,0,65536,0
64,0000094,65536,0,0,0,65536
65,0004679,65536,65512,0,24,0
66,0001886,65536,0,65536,0,0
67,0006140,65536,65511,0,25,0
68,0000289,65536,0,0,0,65536
69,0003881,65536,0,0,65536,0
70,0003270,65536,65510,26,0,0
71,0001720,65536,65507,29,0,0
72,0001887,65536,0,65536,0,0
73,0000290,65536,0,0,0,65536
74,0003883,65536,0,0,65536,0
75,0000905,65536,65501,0,0,35
76,0001713,65536,65500,36,0,0
77,0001889,65536,0,65536,0,0
78,0000295,65536,0,0,0,65536
79,0006112,65536,65499,0,37,0
80,0003884,65536,0,0,65536,0
81,0006231,65536,65499,0,37,0
82,0000296,65536,0,0,0,65536
83,0001893,65536,0,65536,0,0
84,0006858,65536,65499,0,37,0
85,0003885,65536,0,0,65536,0
86,0000118,65536,65498,0,38,0
87,0000302,65536,0,0,0,65536
88,0007159,65536,65498,0,38,0
89,0002312,65536,0,65536,0,0
90,0003888,65536,0,0,65536,0
91,0000384,65536,65497,0,39,0
92,0001856,65536,65497,39,0,0
93,0000304,65536,0,0,0,65536
94,0002318,65536,0,65536,0,0
95,0001830,65536,65495,41,0,0
96,0003889,65536,0,0,65536,0
97,0005206,65536,65495,0,41,0
98,0000308,65536,0,0,0,65536
99,0002419,65536,0,65536,0,0
100,0004375,65536,65494,0,0,42
